Cell Type	Endothelial	Epithelial	Lymphoid	Myeloid	Stromal
SRR26112889	0.071836	0.365771	0.042044	0.04033	0.480019
SRR26112890	0.093636	0.490013	0.054959	0.043538	0.317855
SRR26112891	0.097137	0.330056	0.057055	0.04482	0.470932
SRR26112892	0.114878	0.235648	0.109285	0.059911	0.480278
SRR26112893	0.103446	0.305464	0.091029	0.06303	0.437031
SRR26112894	0.122147	0.283844	0.087825	0.06047	0.445714
SRR26112895	0.12706	0.255891	0.093018	0.070528	0.453504
SRR26112896	0.100954	0.517317	0.060558	0.046719	0.274452
SRR26112897	0.126481	0.192627	0.148005	0.095336	0.437551
SRR26112898	0.125113	0.323741	0.088121	0.063548	0.399476
SRR26112899	0.129281	0.339034	0.06207	0.052542	0.417072
SRR26112900	0.103892	0.281653	0.054244	0.072091	0.48812
SRR26112901	0.074575	0.46381	0.060054	0.059741	0.341819
SRR26112902	0.103864	0.276126	0.071878	0.065352	0.482779
SRR26112903	0.102556	0.331574	0.045204	0.054576	0.46609
SRR26112904	0.082194	0.510723	0.047493	0.041824	0.317767
SRR26112905	0.162108	0.268957	0.086579	0.060651	0.421706
SRR26112906	0.089779	0.476456	0.041983	0.0462	0.345581
SRR26112907	0.076151	0.268647	0.042713	0.058148	0.55434
SRR26112908	0.132767	0.267816	0.094552	0.069538	0.435326
SRR26112909	0.130618	0.303042	0.034167	0.037165	0.495008
SRR26112910	0.162392	0.297313	0.033257	0.059811	0.447227
SRR26112911	0.16455	0.332486	0.058389	0.065073	0.379502
SRR26112912	0.092171	0.315616	0.052653	0.045131	0.494429
SRR26112913	0.074118	0.321822	0.051502	0.056624	0.495934
SRR26112914	0.11411	0.268926	0.074196	0.064753	0.478015
SRR26112915	0.097168	0.22895	0.070283	0.092148	0.511451
SRR26112916	0.114313	0.275532	0.062144	0.065381	0.48263
SRR26112917	0.111081	0.359452	0.075558	0.055646	0.398264
SRR26112918	0.079312	0.436582	0.031544	0.046268	0.406293
SRR26112919	0.097883	0.281993	0.05655	0.068544	0.49503
SRR26112920	0.088105	0.309718	0.071921	0.054166	0.476088
SRR26112921	0.115327	0.33844	0.052401	0.045662	0.448169
SRR26112922	0.114173	0.35795	0.065158	0.045939	0.41678
SRR26112923	0.059644	0.341944	0.055661	0.052084	0.490668
SRR26112924	0.098957	0.249578	0.105094	0.121361	0.425011
SRR26112925	0.151305	0.470376	0.087325	0.113235	0.177759
SRR26112926	0.143367	0.262456	0.058584	0.062369	0.473224
SRR26112927	0.077322	0.290515	0.100256	0.076214	0.455693
SRR26112928	0.077634	0.401911	0.045021	0.043427	0.432007
