"","SRR19525013","SRR19525014","SRR19525015","SRR19525016","SRR19525017","SRR19525018"
"RN7SK",17.8390154055892,17.663466780086,17.5213850696318,17.5829358426132,17.46874497126,17.7247540852684
"NEAT1",17.1506477946382,17.6850932404666,17.4816579367848,17.7508040964825,17.81411645656,16.8460859522486
"MT-CO1",17.5950908632338,17.3181173761122,17.2466517293371,17.492871150045,17.3026450132753,16.9484414015766
"MT-ND4",17.2035300392066,16.6607280589438,16.6538235985109,17.0159210912569,16.6954354180608,16.5819286562457
"COL3A1",16.0305610766045,16.5620050364297,16.43459129052,16.0842359338251,15.9286166825359,16.7044878463129
"AHNAK",15.9555306878251,16.438212204433,15.9692068800731,16.4613067043007,16.539168074292,16.0394350128847
"MT-ND5",16.434830162376,16.1726497878625,16.1242501823659,16.4694332979558,15.872113088907,15.9504800217781
"EEF1A1",16.1500325913295,16.1811389052766,16.1250066542427,15.8891998310562,16.0600385634697,15.867505702696
"RN7SL2",16.0143625855532,15.925801765693,15.7468611768349,15.8147030541849,16.0651349406471,16.0480626830979
"MT-CO3",16.2002870321011,15.9165608440015,15.6322517335377,16.0985758467679,15.9885907107027,15.5474144451691
"RN7SL1",15.7867675918747,15.7085163479757,15.6633750300786,15.6976392373942,16.1275261815448,15.8185021344579
"MT-CYB",16.1808055263541,15.6926169848083,15.6680273553271,15.7985849330962,15.7830427693237,15.295925809007
"MT-ND2",16.0878252676531,15.5701992793748,15.5422673775892,15.9184087617338,15.7411118529358,15.1598224092767
"XIST",15.6397410063248,15.7320483291442,15.5994361655981,15.5843230683475,15.5213350189184,15.8353716389761
"VCAN",15.7053394133063,14.5383357496259,15.6857261255355,15.378675071953,14.9195988854258,15.1311595777737
"COL1A2",13.3239713232822,15.490922905262,15.0916397058885,14.7586155182008,15.2461692342095,16.1454147229707
"MT-ATP6",15.2809967971597,14.6461010290227,14.94191976278,15.186308258088,15.1093098607492,14.8006893370277
"MT-ND1",15.2330014467917,14.7315337298164,14.9012533021076,15.0866257910927,14.9699615257436,14.5257670348464
"RIMKLB",15.3622435209118,14.3095544597887,14.5115889979486,15.5685235898686,15.415145754075,13.4045684757106
"SYNE2",15.2486257783524,13.8718465319735,14.4367506499191,15.4449739128651,15.1668905382671,13.263854691366
"COL1A1",14.5949560124283,14.8018651392104,14.7782382776377,14.4693726021592,14.3479131758219,15.2230051659452
"MT-CO2",15.1736771962164,14.5926312075814,14.543805906503,15.0514782383932,14.6577548912853,14.314224036623
"MUC16",15.6855791817429,12.5199612259213,14.4455845821767,15.473526048276,14.9774697856487,13.1204837143609
"SLC26A2",12.3243122497615,14.9735737290013,14.8368531445117,14.7619572039602,15.0461655975122,14.3109059741479
"IL6ST",15.9764197469069,13.4530916939186,14.654053038612,14.8061705540212,14.3737968117864,13.4150539066442
"RMRP",13.783090292041,14.4149970114453,14.1655967298414,14.3403894920383,14.0719803699228,14.9295683377753
"TPT1",14.6517585263355,14.3663994425394,14.3873441699069,14.3090531168257,14.2463752132915,13.9900690654033
"SRRM2",14.2324465849578,14.5151237189317,14.2248929239038,14.3605316201467,14.2201228471661,14.3912443570428
"ZBTB20",14.2377776093388,14.6777376697016,14.0763374696421,13.9120223237724,14.1444715091517,14.6616405213243
"MACF1",14.3230322287019,14.1993278201563,14.2588529943413,14.3302773601744,14.439308266733,14.1438096503025
"SPARC",14.0479386130757,14.2637205174924,14.3801354828834,14.1212473458781,14.0964015064574,14.39929566962
"DDX17",14.1024701203383,14.3456716086976,14.2141245841253,14.2738411168982,14.1984515088066,14.277399554438
"CD24",13.787153625513,13.921723449918,14.2454234176375,14.2897648835208,14.4125271476778,14.0829437428747
"REV3L",13.9384834433079,14.3848188545098,14.2443415381988,13.897496038674,13.8837339276706,14.2656806045913
"ANXA2",14.2579364308275,13.942820176864,14.0757984196882,14.3999330018752,14.455385049134,13.2314967953172
"ITGB8",13.3800890612334,14.3161220670934,13.7884612545094,13.9334822468423,14.248732491614,14.3453966646651
"LAMB1",14.3721818145028,13.9993296080075,14.28048710584,13.9405003489145,13.495116692331,14.0825634002967
"ENPP3",10.6665865604659,14.3396464942585,14.0038668063642,13.4292548708289,14.5736714425461,14.311166744779
"ACTB",13.9037545930758,13.8870413332446,14.1103154362204,13.77135080601,14.1439299336688,14.0855432054155
"DDX5",14.1684843500818,13.6407524530156,14.1772481111337,14.1138515267015,13.7810505844142,13.8930101316227
"RPPH1",14.0494125543169,13.8823460121439,13.7631683060723,14.0547340640243,14.2335893913388,13.8733360018204
"LINC01317",13.7748151012211,13.9708099728845,12.8772245346911,14.7119024398154,14.5965446864954,12.9308333483978
"IGF1",13.8089030552881,14.0459282822766,14.0828408025768,13.5190350529528,13.4020092024273,14.325090981991
"FN1",13.7454751784985,13.8830772604154,13.0049181042845,13.3065196679778,14.0613196890678,14.8598635383883
"GABRP",13.7186359661393,14.1029592317169,13.4461200107722,14.3607378674706,13.9848619574966,13.5712414146768
"SAT1",12.0601987011597,14.3575832066601,13.5058580250219,14.1688721524759,14.0998246511614,13.7138978564773
"TXNIP",14.1070541561786,13.9610789929155,13.6831350317979,13.9274760834089,13.800278650418,13.4291522578461
"LINC01541",13.8686989904255,13.4110398508122,13.5978637098064,14.523629849261,14.1136806872092,12.7324504595569
"HNRNPU",13.8174118045599,13.5907050627898,13.964634489841,13.8425054439685,13.777033584394,13.6311705656154
"PDGFRA",13.5018753971029,13.8170216518299,13.7320146003651,13.4843971485241,13.3100845277719,14.0768743012486
"SGK1",13.6924965708603,13.5777031968627,13.2425360595616,14.2123401810009,13.951993508829,13.0994493050224
"VPS13C",13.8716347231897,13.3834884382325,13.4192351540977,13.984145283178,13.8742502204629,13.3572498015388
"B2M",14.0191588349723,13.1068978140668,13.8978179979884,13.9227897133946,13.0927880590289,13.5857672177457
"AKAP13",13.6599253016321,13.6784089931346,13.6130648226053,13.7734839956296,13.7291848506982,13.3962477589735
"HNRNPA2B1",13.6447414873187,13.472741178646,13.7000350779656,13.5228833054473,13.5750122184155,13.6330037990523
"COL6A3",13.3262639193905,13.4380977975078,13.7858678313613,13.2055642964885,13.4666967366305,14.0177951458242
"CANX",13.856193362768,13.3877112419024,13.6980812039721,13.6707445780907,13.3718839390889,13.4887132238364
"FTH1",13.3153402510753,13.7952357962995,13.3887475024284,13.7631690721137,13.7650552689869,13.3270665309744
"HSP90B1",13.4661277618385,13.2984624742352,13.6498333497102,14.0210182483994,13.2508905283053,13.5531862170613
"HSP90AA1",13.8438560230361,13.2426886694243,13.6388217552575,13.5285646785218,13.4974503038435,13.5373370793888
"CD44",13.2327975367005,12.966854605931,13.7025719846149,13.7855078456281,14.0091310513679,12.9555544913673
"EEF2",13.6101007936699,13.8310100331344,13.6721443903026,13.3960959277385,13.2272241352711,13.2548214909571
"UCA1",12.4565370987646,13.7872042882794,13.4808112828452,13.3848544538447,13.8451851071024,13.5759869119839
"KMT2C",13.4235172098588,13.5988717112156,13.4463821698275,13.522089046142,13.4589443052158,13.5273212961265
