"","SRR19925016","SRR19925018","SRR19925020","SRR19925022","SRR19925024","SRR19925027","SRR19925038","SRR19925039","SRR19925040","SRR19925042","SRR19925043","SRR19925045","SRR19925046","SRR19925047","SRR19925052","SRR19925054","SRR19925055","SRR19925057","SRR19925058","SRR19925060","SRR19925061","SRR19925062","SRR19925065","SRR19925066","SRR19925068","SRR19925070","SRR19925071","SRR19925072","SRR19925073","SRR19925076","SRR19925077","SRR19925078","SRR19925079","SRR19925081","SRR19925082","SRR19925083","SRR19925085","SRR19925086"
"MT-CO1",19.5337651453344,19.3845216582556,18.1636412178423,18.7188650245868,18.6681147442739,18.6214110981186,19.5301361910131,20.2413416114621,18.8844215622852,19.088634989644,18.377670571825,17.9828572544595,18.4622624825902,19.7376864657576,19.6033993711841,19.4676100322014,19.5354973789518,20.1626971842339,18.923557114367,20.225331625292,19.8563386634764,19.3966610639504,19.1028338976152,18.4417688197807,20.7141734336707,19.3659910857191,18.3129528186396,18.7862434706218,18.4415433736125,17.9080272906072,17.5231661095492,17.6547876309808,18.7355394093564,17.9788697340028,18.4747960546698,19.8819085148813,17.7539776405615,18.2468843717853
"MT-ND4",18.4101967687562,17.8858016706398,17.0543831100637,17.6061499258796,17.3640959217934,17.5647751369962,18.6172294964339,19.3538231595457,17.6785925142191,18.1425498682018,17.2874380328578,16.8318876844357,17.3766529308577,18.8675337586891,18.3015221065274,18.4704070851638,18.4705777276093,19.0110439428675,17.5997341789206,19.2815744897547,18.6482262384208,18.3372198650244,17.9383722260823,17.3885052170778,19.7466993949909,18.4534530384602,16.9952355607067,17.7757154529767,17.2310873840625,17.0034199879801,16.4309528029106,16.6854401252437,17.8636201664692,16.8155097930801,17.5962002308343,18.5450585126283,16.862910608425,17.4084800508184
"EEF1A1",18.1971432880949,17.9985156748992,18.4349044146662,18.0419793836477,18.0235497921863,17.7452192770102,17.9168562152547,18.0053655637566,17.7218772599103,18.4628492457427,17.9717905409418,18.2553706968635,17.5710363299405,17.7266767092719,17.6055534334514,17.848454835478,17.7164887826743,17.7495027500101,17.881365067052,17.7054951388523,17.4621078683697,17.7598070771779,17.4832560832505,17.8386315471096,17.5195051055937,17.6370107283922,18.1196596393996,18.3861447029994,17.9888851197356,17.6495199670441,17.6260484608269,17.8523641300846,17.732579820706,17.7513225574686,17.6972586359793,18.0243847649431,17.5064572601601,17.5906772831389
"MT-CO3",18.378686010213,17.7867175926825,17.3916411271136,17.3956872726503,17.2172062006911,17.2933147326673,18.2365308089993,19.1415727179848,17.6897073198218,18.1106938053157,17.1825910065677,16.8144564868355,17.1997389112826,18.3709674480737,18.1068317327226,18.3340032736456,18.1727062561154,18.582989301437,17.272698896418,18.8676988358858,18.4344656420651,17.9587132210334,17.4997366630574,16.8787931611328,19.4422136800314,18.0743775675102,16.7179566815304,17.4193896466089,16.85642208095,16.426923028619,16.3831962511089,16.291245144883,17.4570061645764,16.7489113928295,17.1843073634265,18.3735101370584,16.47530664357,17.0884433662371
"COL3A1",17.587257820508,17.2834400096136,17.1794529441909,17.8870338744524,17.5371393410502,16.7680458722805,17.3369933375868,17.0734950661804,17.3125009899883,17.7059455948754,17.5863892270594,17.5243995930341,17.1340159645344,16.9067644489598,16.5387518915564,17.0805693644347,16.5764453272417,17.138376066158,17.5264913709482,16.6539187013138,17.254403462148,17.4460072968025,16.9187815723268,17.1937809627203,16.6648344140418,17.1441779519164,17.3320945738366,17.6278357577822,17.0813753392737,17.5401858072998,17.2534842206145,17.5206366904676,17.0768677417912,17.1817397862774,17.4835548169895,17.8282131794343,16.831473911391,16.7870055745734
"COL1A1",17.6962991744095,17.678044101826,16.7188323367943,17.6099896992382,18.1834680555315,16.8632431218761,17.251083930247,17.6515940529634,17.5256546377562,17.7397589649831,17.5358194590197,17.7080977632686,17.0552962857886,16.8466722386625,17.0470747293517,16.948170362882,16.7853678676481,16.30703924714,17.5724646890008,16.2999824520811,17.4104008589496,17.4026463683611,16.8495642203766,17.1951370507404,16.4569392999855,17.5072389836642,17.1998796968983,18.1003367148625,17.0395069538964,16.9057319899709,16.8130775145944,17.438061553389,17.0771726790721,16.7119360134577,17.0417371503892,17.2715819913967,16.6857326940133,16.6590387942276
"MT-CYB",17.6557711652883,17.1377487714644,16.2332221643841,16.6249885264205,16.4091854907657,16.9230035828486,17.7222894000576,18.8648211927304,17.067537490621,17.5025964017812,16.4567875845537,16.1335393612408,16.5542693411332,17.793485655534,17.6275392890497,17.4740599237216,17.6286123530036,17.9499968377979,16.5559847779329,18.4174909867702,17.7974086868524,17.3036977264037,17.0249231769142,16.2863243448451,18.9320731216119,17.4759369020146,15.9921535046183,16.73990305719,16.0892423892359,16.0371151748896,15.4193990673337,15.6820218009531,16.8669538309672,15.9149728382143,16.6325561038574,17.4676831713267,15.8805942998095,16.4863234648072
"MT-ND5",17.4998293598463,17.1062526219777,15.8471105404253,16.6680995668449,16.3061358822525,16.6782228658029,17.5709954680141,18.24130915142,16.8282647503438,16.9968786749664,16.6146845599837,15.9049797908376,16.1734461172814,17.8668850936657,17.4415895640128,17.5329520962989,17.5099224265663,18.1144765847239,16.6250904403342,18.2292562697916,17.7012408205287,17.4759626834608,17.1020452391154,16.2550115258545,18.4117193635299,17.3732526906884,15.9264972648224,16.4922238412282,16.4443207530272,16.1319012997262,15.4969962017821,15.7655243775515,16.6838431916523,16.0512686335455,16.7709042654894,17.8068567374583,15.9093449364302,16.0600197988442
"MT-CO2",17.5512315562835,17.0195098624284,16.5970925044718,16.5870105465874,16.4952308338922,16.5492835830888,17.5855700241072,18.2187754802795,16.8658439493188,17.3227853770125,16.4931383005764,15.9394310554626,16.4125069676071,17.7721698058609,17.5403629929097,17.5127698817063,17.597220193361,17.7953712111045,16.7227954580143,18.2230123993074,17.7168648965816,17.3215001569242,16.9414369585227,16.3975712766005,18.5227845189046,17.1585576661225,16.0144581272146,16.8022300729235,16.1549150744087,15.9007166523956,15.3266699106739,15.5526305173598,16.8894439231134,15.6727818752567,16.4212011908709,17.4895147173144,15.6989651024209,16.4451094603692
"MT-ATP6",17.4131551360828,16.9913638060651,15.871942662453,16.46716674537,16.4051149634796,16.5583092796697,17.415000047005,18.3748432907138,16.8166227611809,17.1036250323113,16.3371839358132,15.8512269339642,16.3080225949236,17.6828157596039,17.4889669790375,17.3594732519771,17.3989906081104,17.7201240892606,16.6512157186686,18.3362364254392,17.7075801699227,17.2743889109284,16.6863127497782,16.3885560539578,18.7290940396093,17.3330054765278,15.9220951976706,16.676565191662,16.2079962235075,15.748297968926,15.3411348029922,15.5552549725965,16.6415433549195,15.5454535355786,16.2626512300829,17.1780306354801,15.8432778064077,16.4838030757556
"MT-ND2",17.2742973592354,16.830921179422,16.6388773451883,16.5236262281622,16.2021528637958,16.5687462335149,17.4974621792891,18.3207762529526,16.887856025833,17.2522231210056,15.9323284956074,15.7571188661048,16.4416347399963,17.6384570781589,17.152942069793,17.3727027871133,17.4014045605393,17.9820567222467,16.4704852914459,18.1443410485052,17.4501074574693,17.1615706563554,16.98846930728,16.1480411598475,18.7109463094061,17.1641345034335,15.9142356054824,16.7303613651359,15.8506252084751,15.9409575410996,15.5577074130024,15.7458109215228,16.717081833362,15.8360644426107,16.5138871225554,17.3178867187015,15.8862420966726,16.2884979987778
"ACTB",17.7812036413602,16.9078890583342,16.5048043154702,16.7923924097613,17.0211620852852,15.9257972858108,17.5789648105383,18.1852140176455,17.2174485567061,18.0906670240402,17.1319751237453,17.5351122561196,16.3305277176925,16.9141574848764,17.4704570932783,17.2046492714127,17.472304698509,16.4032218278312,16.8793969716695,16.5737361121503,17.4322458801673,16.8538261841769,16.6498989676024,16.3576444599797,17.2619705680937,17.3704271946307,16.3071747028643,17.7631940018327,16.5706133219642,15.9358558845216,15.7579172308811,16.3215368934274,16.5459343514142,16.0594714497187,16.4561432877432,16.8287593281537,15.7145788338762,15.9470168419822
"PAEP",12.728092380939,18.6491694844939,17.7998428663021,17.1956013335029,17.496178505741,16.4159323518194,15.6680664949387,16.0359672829725,15.1227989909498,15.9411932365212,17.1311249298844,17.1634724330328,15.1114079815618,16.4926986470665,16.1864805278208,16.93036846005,15.5734733360077,16.3386979505817,17.6846841680717,18.5606788871329,13.6861255412771,15.8880240754287,15.9811511728651,15.8035322860765,16.2741071777727,14.2554138661398,17.4343546401623,14.0349863367731,19.0289684668876,13.4975670832091,12.262514359431,16.0875196746923,16.9983192486822,12.6745287793986,15.9629349822699,12.9592301966253,15.3718726168187,14.1965250575135
"MT-ND1",16.8475933622317,16.9241644330346,15.3542332368297,15.8488630756681,15.8972347095104,16.1978018788236,17.0503346908318,18.2782761411377,16.6445611590534,16.9974177123978,15.7579670575807,15.8664487885736,15.7724326287032,17.2356735969838,17.012193455906,16.9263537405287,16.8527256580437,17.4331607389734,16.1790371223914,17.7770214765362,17.1918935274104,16.8087021409494,16.3690905193467,15.6720559424917,18.6432102252983,16.9918526401593,15.5119654700957,16.6011218816117,15.6869518761053,15.2347048164841,15.007099673607,15.4329500866647,16.1705349468694,15.3134081441724,15.7802716813005,17.0349940708543,15.3579821180265,15.7388168348085
