"","SRR26112889","SRR26112890","SRR26112891","SRR26112892","SRR26112893","SRR26112894","SRR26112895","SRR26112896","SRR26112897","SRR26112898","SRR26112899","SRR26112900","SRR26112901","SRR26112902","SRR26112903","SRR26112904","SRR26112905","SRR26112906","SRR26112907","SRR26112908","SRR26112909","SRR26112910","SRR26112911","SRR26112912","SRR26112913","SRR26112914","SRR26112915","SRR26112916","SRR26112917","SRR26112918","SRR26112919","SRR26112920","SRR26112921","SRR26112922","SRR26112923","SRR26112924","SRR26112925","SRR26112926","SRR26112927","SRR26112928"
"MT-CO1",19.2967704099205,19.1726420522331,19.4372247574393,18.8347251922567,19.5539762456109,18.8629523025548,19.2836116869429,20.6417371521223,18.8164063045115,20.5071884276299,19.6535037403442,19.4637386694303,19.239427734324,20.1662697546152,19.5248859604717,19.2876908432174,19.3294934416288,19.1064660969139,19.199724664306,19.2279235771315,20.7612516040312,19.5489360412312,19.570012675592,19.3577919459395,18.803412542338,19.5351018346647,19.0658366490275,19.2520274186216,19.0494087245273,19.2144048307532,18.9719900550168,19.1118024684852,19.6217170788481,19.9058700500564,19.0349712834484,19.0142919415954,19.5505748278471,19.2046977521082,19.2066950902047,19.4558011267355
"EEF1A1",18.1881321910212,18.3078329555252,18.2726376089799,18.2944292024058,18.354479479276,18.4705920331204,18.2995758836086,18.0867751540809,18.5752266138321,18.2507780225209,18.5056101896851,18.3108420830161,18.4960187712359,18.2664462212831,18.362120519404,18.3179508796626,18.5225018848215,18.3493224343386,18.4985987588778,18.3748940891246,18.0285829151424,18.159553190218,18.1712326879466,18.2956181210361,18.4321814256033,18.5431345960268,18.4864867917503,18.532652597021,18.2892809781824,18.3382549991912,18.4195186482885,18.3683583529795,18.1903521953153,18.0967012706061,18.3775247212101,18.2927056286372,18.3704029363602,18.5615836152645,18.4108058926278,18.3820844164539
"MT-ND4",17.8291422485466,17.7529618265817,18.10372282464,17.4706179669697,18.284408951202,17.6905504347038,17.785145984072,19.3948168143501,17.372814786162,19.2359535530303,18.4902496426346,18.0694657660475,17.8248657393296,18.8336782935036,17.7823317793123,18.7018717291797,18.1506345017201,17.7871594881892,17.8940305813828,17.7381168623787,19.3612768118501,18.1179331982327,18.2713738367016,17.9228567430534,17.4936274249606,18.0283841921261,17.7156325999498,18.2710195221384,17.9688193958721,17.6684178067171,17.592273703063,17.7593065763805,18.6216149677121,18.4633905021736,17.4785702229787,17.6417920817152,18.1933159179297,18.0322065290121,17.8517456370587,18.1012265212246
"MT-CO3",17.7462956442912,17.6750261364178,17.8692280222104,17.1143101484351,17.9737943488039,17.3696848323765,17.6394501116281,19.1570208622593,17.2360456450517,18.8153411825172,18.0276846013176,17.8763327656873,17.8929863420805,18.4203375134189,17.890246209984,18.4115797274448,17.577130475151,17.6763558300992,17.6474427502618,17.4491485540477,18.9829312751366,17.7701696113654,17.9609621887363,17.7114291308349,17.4524045046775,17.8674944070894,17.5430581268196,17.6158672907068,17.5806515677599,17.9113596828565,17.5622878424148,17.605156024861,18.1604810013895,18.1200983660723,17.2023283256565,16.8660140022736,17.8528588967525,17.4005580748416,17.6535102069725,17.9371276878839
"COL3A1",17.8398701645892,17.0743239776502,17.4216909837394,17.4972345270671,17.6340134658705,17.5763942620331,17.5620765606111,16.6425635296146,17.2839805656085,16.9591902485482,17.8588738991802,18.1723664987658,17.4990940385432,17.8264994545527,17.8838717999776,17.0746659205789,17.2066588735343,17.5873501388412,17.7193111559011,18.0251558228861,18.4239879121855,17.7089860900715,17.354529921493,18.2156424472949,17.6258362382199,17.5724404663426,17.9053525992814,18.2273577389011,17.7525903815474,17.3806840803192,17.8066538353459,17.9594334261535,18.1122361997273,17.7840591930622,17.7568353164441,17.3353980776532,14.1779097373583,18.3572330932432,17.5880581431322,17.1371541352823
"MT-CYB",17.2741457653393,17.2140068030311,17.477735449887,17.1618106267013,17.6098923746803,17.4323790735237,17.3919877470085,19.0391549447668,16.7284654954236,18.8574066788317,17.7862033959228,17.5648337600589,17.2987259859784,18.2309322338444,17.3565237326083,18.1536016801105,17.3578788569306,17.2060410452755,17.4334088114721,17.246713808413,18.6917895327826,17.7547945503072,17.942318684202,17.2785883139488,16.9024696291485,17.7148909396108,17.210856062848,17.5048933355899,17.5662966899138,17.3403840793116,17.3234747944996,17.1200564378662,18.1364419838806,17.9296697786596,16.861110423918,17.000831431001,17.3883661552581,17.4378017345056,17.3078407504687,17.5209470173406
"MT-ND5",17.3195062099779,17.2927837034392,17.5986619187234,17.074578871711,17.8086880943894,17.390984020066,17.0018827994779,18.8291192935006,17.0499837379111,18.5816426216226,17.9966183522751,17.1648969573352,16.8204930760282,18.2542367970717,17.3355643092049,18.1339737098513,17.5666175143793,16.8151217439673,17.259054833293,17.2010547922815,18.8468917688953,17.7381877613522,17.5728395294148,17.361489425401,16.7758092570369,17.4181746335339,17.2033999262252,17.7924756217603,17.015474172748,17.0914872414156,16.5369440975259,17.0311260985196,17.6412763616922,17.6577469803701,17.0905364084644,17.0298053929091,17.5576461290864,17.6025856542614,17.4844693889602,17.2703421392409
"MT-ND2",16.8556318919049,17.0837821971115,17.3135685131109,16.9306257615434,17.5910594912307,17.1985170980485,17.1026889605951,18.7153971457131,16.5854986564699,18.3834612058833,17.5249145246189,17.2541724763429,17.2467919923372,18.1985989262699,17.0444785836713,17.9521508785833,17.1974262689269,16.8555839884617,17.2069561344688,16.7311834134767,18.3358846086197,17.3226641555893,17.7793570589569,17.0454306878087,16.7595039993485,17.4861853984262,17.0306562558828,17.4299408271498,17.4369600857505,17.2228072400989,17.0087759504668,16.6075878526086,17.8273050881297,17.5502925530351,16.7992774737924,17.1784120513251,17.2192027764593,17.1087667899996,17.3787587914904,17.4697149586675
"MT-CO2",16.989189363763,17.0291851306077,17.0305276486117,16.6715975899564,16.9490965406669,16.7968585357811,16.8508575516205,18.2764154947427,16.4948167488922,17.9653166896818,17.019916670289,16.7815092557221,16.8365752109937,17.6267770748442,16.9026697945771,17.5941463703588,16.7688496003244,16.6644979211095,16.9657978504694,16.5193266454947,18.2704791185246,16.7850733549126,16.9797322050537,16.699478490465,16.617442612904,16.796003304748,16.9998129969851,16.589402741801,16.9010961359126,17.0484449744618,16.548736946061,16.710464419661,17.3464507137672,17.0642693565422,16.5418426714973,16.5411016354603,17.1860703768106,16.5588328906904,16.6788454004206,16.745472133306
"MT-ATP6",16.6611249903791,16.4816640629303,16.8658147103045,16.4103147681434,16.9537035650061,16.4504031009384,16.7924549394618,18.1728678175367,16.4250871867624,18.1684288918428,17.2424246164104,16.6643952769187,16.5845343706881,17.2851107815774,16.8513475902613,17.2630287632624,16.9395961371161,16.717388127005,16.8312254085603,16.7038799511319,18.0882128852223,17.1798702779646,17.0618654569529,16.8027851829558,16.4656473391302,16.9484390400727,16.6620334057225,17.0076247497214,16.618447669837,16.8477602894177,16.6466733698716,16.5806599167039,17.1408329363256,17.2189742167018,16.3858241367409,16.1281022415849,17.0850660081447,16.7787409656393,16.8115310218831,16.7740906064103
"COL1A2",17.390379747218,17.5382372382149,16.5737080510506,14.67576996715,17.0763593075734,15.6110953942269,15.4981617504847,14.1569050522764,14.7525030839593,14.6040826897602,15.9085874713881,15.7032307516157,17.7737123209441,15.4007586227751,17.0641099897336,17.6740640057153,14.8728511416256,17.7800151231468,16.6500670836185,15.4732482593996,17.6022521228584,15.5091839850264,15.5512422141215,17.0310358088823,17.7546083660465,15.5912206370242,15.2301246163075,15.5376587367083,17.8703435748626,18.1765652558188,17.16758441917,17.887278579503,17.7799225128941,16.6194184508574,17.4872723134494,14.4836762172763,14.1180863823648,15.4929679648234,16.0755823620007,17.3748203967658
