Cell Type	Endothelial	Epithelial	Lymphoid	Myeloid	Stromal
GSM3045867	0.159304	0.28309	0.12161	0.173637	0.262359
GSM3045868	0.164929	0.232341	0.228398	0.184911	0.189421
GSM3045869	0.166529	0.236284	0.170159	0.18382	0.243208
GSM3045870	0.150771	0.361661	0.132723	0.1372	0.217645
GSM3045871	0.13924	0.344728	0.132251	0.142028	0.241753
GSM3045872	0.160779	0.293854	0.148403	0.165565	0.231399
GSM3045873	0.158514	0.279137	0.159956	0.171348	0.231046
GSM3045874	0.164118	0.345656	0.1098	0.143703	0.236724
GSM3045875	0.160722	0.22642	0.156197	0.196849	0.259812
GSM3045876	0.154438	0.335785	0.127024	0.132705	0.250048
GSM3045877	0.173579	0.293995	0.136283	0.211566	0.184577
GSM3045878	0.172582	0.293575	0.154021	0.154088	0.225734
GSM3045879	0.137194	0.354822	0.115602	0.180868	0.211514
GSM3045880	0.179287	0.256268	0.18934	0.173097	0.202009
GSM3045881	0.183888	0.226005	0.186574	0.194466	0.209066
GSM3045882	0.150562	0.337052	0.127285	0.134177	0.250924
GSM3045883	0.150027	0.354551	0.136277	0.164347	0.1948
GSM3045884	0.158145	0.225574	0.183153	0.174908	0.25822
GSM3045885	0.1447	0.365072	0.121848	0.14701	0.22137
GSM3045886	0.147971	0.245695	0.194103	0.18352	0.22871
GSM3045887	0.146693	0.324576	0.155622	0.178271	0.194839
GSM3045888	0.1629	0.324117	0.13376	0.140187	0.239036
GSM3045889	0.165554	0.231303	0.189603	0.194785	0.218755
GSM3045890	0.164627	0.223777	0.183374	0.202314	0.225909
GSM3045891	0.169793	0.303076	0.135592	0.136346	0.255193
GSM3045892	0.151142	0.356057	0.133461	0.143716	0.215625
GSM3045893	0.144246	0.361243	0.142607	0.147498	0.204407
GSM3045894	0.153958	0.267262	0.152527	0.176721	0.249533
GSM3045895	0.137652	0.396573	0.109949	0.12381	0.232016
GSM3045896	0.138211	0.376479	0.134699	0.129591	0.221019
GSM3045897	0.134567	0.393269	0.126326	0.144234	0.201604
GSM3045898	0.143668	0.263015	0.125563	0.208738	0.259017
GSM3045899	0.140504	0.27452	0.190288	0.189794	0.204893
GSM3045900	0.162383	0.236612	0.182719	0.154091	0.264195
GSM3045901	0.151567	0.438546	0.103323	0.117216	0.189348
GSM3045902	0.138535	0.328645	0.135458	0.138065	0.259298
GSM3045903	0.147952	0.336298	0.134359	0.136429	0.244962
GSM3045904	0.147017	0.352939	0.128498	0.139236	0.232311
GSM3045905	0.141156	0.34597	0.132846	0.138985	0.241044
GSM3045906	0.144356	0.324068	0.155337	0.128317	0.247922
GSM3045907	0.140864	0.365736	0.12226	0.134908	0.236232
GSM3045908	0.158637	0.305002	0.116236	0.166781	0.253345
GSM3045909	0.123027	0.397998	0.123572	0.170188	0.185214
GSM3045910	0.14702	0.268183	0.158049	0.179409	0.247338
GSM3045911	0.146066	0.320339	0.131257	0.177196	0.225141
GSM3045912	0.140378	0.348811	0.122735	0.137137	0.250939
GSM3045913	0.150792	0.312116	0.154516	0.14684	0.235735
GSM3045914	0.147612	0.373106	0.122429	0.148626	0.208227
