Cell Type	Endothelial	Epithelial	Lymphoid	Myeloid	Stromal
GSM1402321	0.136625	0.318321	0.178473	0.15986	0.206721
GSM1402322	0.133146	0.322172	0.176361	0.161841	0.20648
GSM1402323	0.132666	0.336723	0.171889	0.163907	0.194816
GSM1402324	0.124036	0.328414	0.172007	0.156511	0.219032
GSM1402325	0.139043	0.330736	0.180129	0.163128	0.186963
GSM1402326	0.127444	0.244765	0.197631	0.172928	0.257232
GSM1402327	0.132739	0.280625	0.175671	0.159403	0.251561
GSM1402328	0.142589	0.306138	0.176468	0.159111	0.215693
GSM1402329	0.134436	0.295938	0.180723	0.16334	0.225564
GSM1402330	0.138474	0.291241	0.193625	0.171466	0.205194
GSM1402331	0.135527	0.306758	0.179719	0.167714	0.210282
GSM1402332	0.134424	0.314932	0.18626	0.166129	0.198255
GSM1402333	0.137912	0.29883	0.186636	0.162697	0.213924
GSM1402334	0.129807	0.318712	0.176114	0.15873	0.216637
GSM1402335	0.146166	0.297234	0.192715	0.182713	0.181173
GSM1402336	0.133491	0.311813	0.177895	0.165146	0.211654
GSM1402337	0.135534	0.309155	0.167376	0.163425	0.22451
GSM1402338	0.134708	0.282915	0.190874	0.170496	0.221008
GSM1402339	0.137024	0.29328	0.193141	0.162227	0.214329
GSM1402340	0.132119	0.312885	0.176603	0.15695	0.221443
GSM1402341	0.129903	0.329015	0.171036	0.157533	0.212513
GSM1402342	0.131997	0.319554	0.173784	0.16	0.214667
GSM1402343	0.136856	0.285108	0.191162	0.167602	0.219272
GSM1402344	0.137744	0.319283	0.17907	0.161871	0.202032
GSM1402345	0.13407	0.322846	0.173044	0.159728	0.210313
GSM1402346	0.128388	0.309744	0.178939	0.157706	0.225223
GSM1402347	0.125431	0.312672	0.170616	0.154992	0.236289
GSM1402348	0.135196	0.295174	0.184238	0.162617	0.222774
GSM1402349	0.13237	0.342492	0.171957	0.155433	0.197748
GSM1402350	0.135472	0.294083	0.191002	0.16092	0.218522
GSM1402351	0.133706	0.286945	0.174087	0.157872	0.247391
GSM1402352	0.132961	0.304584	0.174201	0.152431	0.235822
GSM1402353	0.134462	0.307296	0.179684	0.158824	0.219735
GSM1402354	0.127099	0.334358	0.168859	0.153761	0.215922
GSM1402355	0.135641	0.315529	0.162079	0.154373	0.232378
GSM1402356	0.127153	0.312624	0.179845	0.155705	0.224673
GSM1402357	0.131897	0.30565	0.173782	0.15979	0.228881
GSM1402358	0.127549	0.304853	0.169285	0.151666	0.246646
GSM1402359	0.132237	0.303266	0.173487	0.167993	0.223017
GSM1402360	0.121307	0.269729	0.186299	0.161695	0.260969
GSM1402361	0.122649	0.328132	0.174102	0.150487	0.22463
GSM1402362	0.134162	0.280628	0.197075	0.164342	0.223793
GSM1402363	0.13234	0.316728	0.183725	0.164884	0.202323
GSM1402364	0.12529	0.302801	0.171774	0.16891	0.231225
GSM1402365	0.129815	0.311535	0.173615	0.15605	0.228984
GSM1402367	0.13012	0.359791	0.170245	0.155009	0.184835
GSM1402368	0.128083	0.3152	0.164758	0.15798	0.233979
