"","GSM2771795","GSM2771796","GSM2771797","GSM2771798","GSM2771799","GSM2771800"
"A1BG",4.4122749375,4.5130476465,4.171409565,4.52271471208333,4.39375315,4.06208649316667
"A1CF",4.13599559916667,4.16851816766667,3.21664112083333,4.12398221316667,4.28853135316667,3.644715448
"A2LD1",3.523482722,3.56966988516667,3.451039017,3.2024246005,4.4879786875,2.99146771083333
"A2M",8.05548126666667,7.0288303045,9.0370806855,8.00807255783333,8.12500028366667,7.32362718716667
"A2ML1",3.71737055883333,2.5481466705,3.402495256,2.84842598766667,2.6634479085,2.6277268745
"A4GALT",5.214329685,5.07544592516667,4.1501506465,6.1084431125,6.18080437733333,5.3801918255
"A4GNT",3.61223347033333,3.13664723916667,3.0998506745,3.34320284083333,3.3889406535,2.77561741766667
"AAA1",6.56154297916667,6.21399364433333,4.3221788075,6.2375865285,6.35350959433333,6.92358680766667
"AAAS",6.2613515665,6.38870293916667,4.75195154083333,6.308858203,6.15093855983333,6.26365518416667
"AACS",6.1960217675,5.8398447705,6.42713674616667,5.36254065216667,5.7235037285,5.637007796
"AACSP1",2.42474009483333,2.2614247565,2.27636726,2.4425152615,2.80668341283333,2.53635719166667
"AADAC",1.91680072683333,1.87765528983333,2.44317785733333,1.9390329565,2.1530050405,1.90906760366667
"AADACL2",1.97483699,1.6215068345,1.960124883,2.42880682716667,1.90813296058333,2.0366171345
"AADACL3",3.62403258091667,3.37087755983333,3.297993942,3.40372279516667,3.71486555666667,3.39464337883333
"AADACL4",2.97365325066667,2.56508444933333,2.55757861166667,2.44179379833333,2.14992978116667,2.3546705765
"AADAT",3.85321254,4.36282962266667,4.79264221816667,3.82730529383333,3.409045399,3.70864893883333
"AAGAB",5.79767536916667,6.50034742783333,6.4581445735,5.16314241533333,5.66269795283333,5.16573045883333
"AAK1",9.1663418105,9.301210093,6.02272928516667,10.0168838341667,7.10893414683333,9.09022757883333
"AAMP",6.85511118033333,6.4823133115,5.9526041825,6.92255604733333,7.1137628005,7.2108539265
"AANAT",2.81423924283333,3.07302704716667,2.28511953583333,3.35266785983333,2.35505698916667,2.59365146883333
"AARS",6.07235873916667,6.38036355933333,5.688176825,6.471020866,6.5708034685,5.86088828416667
"AARS2",6.09823933983333,6.3754434435,4.40784428866667,6.5306650645,5.68391424416667,6.94387777
"AARSD1",6.182181021,6.761984049,4.922959988,6.24254573,5.8622761555,5.99230364933333
"AASDH",5.055249661,4.75930888033333,6.15303207866667,5.45762618516667,5.54954076691667,6.45222511566667
"AASDHPPT",5.65198388633333,7.10528520716667,6.29855721616667,5.60658336433333,5.32995919383333,4.80748612533333
"AASS",8.4321891205,7.21136020683333,6.10998153983333,8.50966585833333,5.2667932235,7.21413979366667
"AATF",5.55598931783333,5.2027549655,5.15436145166667,5.75916914416667,6.128911046,5.395167348
"AATK",6.28646423333333,5.62145127766667,4.50724886716667,6.19403535166667,5.77397907866667,5.98403041233333
"ABAT",3.57432973066667,3.12990516166667,7.02746230366667,3.08591779333333,3.13061446133333,3.70306781883333
"ABCA1",6.05446713133333,5.80687489116667,7.231782385,5.36568362283333,6.53128159566667,5.72997472733333
"ABCA10",3.34447683266667,5.12402212083333,4.13243004183333,3.203014396,2.675250505,2.49672006283333
"ABCA11P",3.09243581716667,3.60823884333333,3.25910547283333,3.16457456466667,2.99308159483333,2.9867818065
"ABCA12",3.64935146183333,3.73381457983333,2.9074310215,3.45653555233333,4.52081686583333,3.61472039933333
"ABCA13",1.5879120245,1.64132713483333,2.141630508,1.6482093345,1.91240215183333,1.65959359683333
"ABCA2",4.790406185,4.62822555616667,3.23567958883333,4.96635973016667,4.8474890155,5.41500858866667
"ABCA3",4.7516562285,5.0442349295,4.60995072266667,4.92181619133333,5.05802641633333,4.40089126916667
"ABCA4",3.97980732433333,3.52718399533333,2.77616826116667,4.0606707895,4.44049350066667,4.3770761615
"ABCA5",5.43027939733333,7.20069776083333,5.44404855808333,6.88316904566667,5.73179322516667,5.056279999
"ABCA6",2.20662608516667,2.36885609366667,3.6967976315,2.69983465766667,2.37711908466667,2.1066721505
"ABCA7",6.03701411566667,5.11019251516667,4.54669873733333,5.44517095033333,5.800149027,5.49816050466667
