"","GSM3045867","GSM3045868","GSM3045869","GSM3045870","GSM3045871","GSM3045872","GSM3045873","GSM3045874","GSM3045875","GSM3045876","GSM3045877","GSM3045878","GSM3045879","GSM3045880","GSM3045881","GSM3045882","GSM3045883","GSM3045884","GSM3045885","GSM3045886","GSM3045887","GSM3045888","GSM3045889","GSM3045890","GSM3045891","GSM3045892","GSM3045893","GSM3045894","GSM3045895","GSM3045896","GSM3045897","GSM3045898","GSM3045899","GSM3045900","GSM3045901","GSM3045902","GSM3045903","GSM3045904","GSM3045905","GSM3045906","GSM3045907","GSM3045908","GSM3045909","GSM3045910","GSM3045911","GSM3045912","GSM3045913","GSM3045914"
"A1BG",9.9829,10.816,11.129,10.023,9.9573,10.996,10.893,10.752,11.25,10.832,10.301,10.964,10.533,10.458,11.411,10.433,10.415,10.71,9.9061,11.133,10.48,10.278,11.161,11.226,9.6239,10.279,10.058,10.685,10.039,9.811,10.093,10.793,10.585,11.5,10.234,10.404,10.562,10.879,10.441,11.277,10.412,11.881,10.26,11.261,11.397,10.368,11.11,10.344
"A1BG-AS1",7.8173,8.5262,8.9381,8.0313,8.2635,8.5067,8.769,8.8667,8.7902,8.5431,7.5826,8.8169,8.5468,8.64,8.933,8.5399,8.202,8.9748,7.2231,8.5939,8.3184,8.3133,8.6509,9.2303,8.3475,8.6706,8.2805,8.8485,8.384,8.1197,8.5591,8.529,8.7494,8.9695,8.5933,8.6581,8.6128,8.4269,8.7988,8.7756,8.3554,8.9488,8.2279,8.677,8.7294,8.4957,8.8955,7.7695
"A1CF",4.635187222,4.849494396,4.951977003,5.017830338,4.879854578,5.058880228,4.677304994,4.813066012,4.839587996,4.788596962,4.688225788,4.695551892,4.735052767,4.762807839,4.59734758,4.697173757,5.039820576,4.690792801,4.909089665,5.00355823,4.818078136,4.963440726,4.647476536,4.932934722,4.627476571,4.559625318,4.684660975,4.550462941,4.699580961,4.748157887,4.700031864,4.97022189,4.863757516,4.756112533,4.535023986,4.705021311,4.641884779,4.947895853,4.724018372,4.766712106,4.614037093,5.208108783,5.392078054,4.758453831,5.377297069,4.723550193,4.435886377,5.19073998
"A2LD1",9.5712,10.344,10.447,10.051,10.3,9.3462,10.543,8.8869,9.5254,9.7471,9.6011,10.125,9.3711,10.181,11.504,10.505,9.8158,10.188,10.863,10.773,9.7078,11.11,10.586,10.356,11.287,10.289,10.237,10.725,10.735,10.577,9.3819,9.776,10.674,9.7803,9.3136,10.301,10.552,10.908,10.454,11.101,10.599,10.026,11.449,10.52,10.726,10.688,10.179,10.574
"A2M",15.187,15.677,16.327,15.036,15.054,14.964,16.128,15.594,15.051,14.999,14.918,15.83,15.108,15.994,16.161,15.137,15.34,15.518,14.327,15.524,15.078,15.542,15.719,15.727,15.855,16.147,14.994,15.756,15.184,15.083,14.863,15.838,15.943,16.101,15.164,15.182,14.96,14.539,15.887,14.886,14.777,15.349,14.912,15.4,15.304,15.236,15.67,14.399
"A2ML1",5.1396,4.7212,5.2958,8.5501,7.7511,4.7109,6.4284,4.3642,4.824,4.875,7.2666,4.4758,4.7057,5.5812,4.59,7.9904,4.9347,4.2385,6.2967,4.6403,4.1362,6.2672,5.5708,4.3995,6.1987,7.416,5.9904,7.1862,8.6095,8.0879,4.4622,6.1436,5.6775,4.5164,4.7555,6.7867,6.6147,6.8657,8.353,6.2556,7.4624,4.9586,8.193,5.4172,6.0952,8.4384,5.7272,5.9574
"A2MP1",4.5975,5.0576,4.4622,4.9523,5.2981,5.2696,5.5052,5.3388,4.9878,5.0196,5.2289,4.7449,5.6851,5.2668,5.9749,4.5888,4.7505,5.0706,5.5511,4.4979,5.4666,5.2325,5.5032,4.5366,4.5981,4.8031,5.1177,5.1216,4.8539,5.6154,5.3682,5.8714,5.4055,4.9164,5.1366,4.5572,5.4442,5.5693,5.8531,5.5894,5.095,6.1371,4.8949,5.9795,5.4675,5.1762,5.4815,5.1077
"A4GALT",11.998,11.581,12.484,12.525,12.86,12.383,13.233,12.834,12.773,12.763,12.475,12.795,12.757,12.862,11.863,12.693,11.919,12.464,11.721,11.795,12.356,12.844,11.986,11.769,12.969,12.425,11.951,12.783,12.596,12.101,12.788,12.252,12.781,12.415,13.629,12.234,12.312,12.576,12.47,12.782,13.051,13.601,13.416,13.931,13.874,12.525,13.059,12.355
"A4GNT",3.6331,4.1473,3.9721,4.4081,4.6319,4.5932,4.7588,4.0977,4.9337,3.8929,4.3547,4.8319,4.1625,4.049,3.9514,4.0262,4.434,3.3385,4.1679,4.6403,4.4513,4.7677,4.2504,4.8372,5.2835,4.3422,5.2381,4.2417,4.6607,3.913,4.6105,4.6445,3.5458,4.0151,4.8245,3.704,4.4785,4.9288,4.4906,4.2863,3.4403,4.7874,4.4123,5.561,4.4906,4.2684,3.8664,5.001
"AA06",5.102,5.1212,4.4622,4.9523,4.2441,4.4221,4.7588,3.8192,4.8786,5.2353,5.088,4.547,4.523,4.4534,3.8498,5.1068,5.6027,4.5981,4.9435,4.6403,4.5579,4.009,4.864,3.7694,5.3837,5.2293,5.1366,4.979,4.3606,3.8736,4.2962,4.5534,5.2404,5.0485,5.0531,5.1055,5.3881,4.6778,4.4277,4.3693,5.4471,4.9268,5.7912,5.0024,4.7109,4.7765,4.5046,4.5308
