"","GSM659103","GSM659104","GSM659105","GSM659106","GSM659107","GSM659108","GSM659109","GSM659110","GSM659111","GSM659112"
"A1BG",2.24855407321236,2.23308491204869,2.20198491727328,2.211143107905,2.73846759611415,2.27231195428872,2.25975500266386,2.26886185828057,2.29784671445979,2.27231195428872
"A1BG-AS1",3.82327750952547,3.79438548208722,3.78721294783422,3.79552717760708,3.91685310388888,3.28364872889412,3.3018942149183,3.3018942149183,3.3094242054517,3.3018942149183
"A1CF",3.21580806196971,3.1904376816801,3.17022290073909,3.18576415395103,3.20594490868897,3.22588866652793,3.19965589282844,3.2329776417918,3.26676246353527,3.23416431471746
"A2M",12.5679820638336,13.2311657223069,12.5468414261759,12.4526276703017,12.7627278425007,12.674385430872,11.317034357773,11.9075972904731,11.5258820536744,12.2752439267071
"A2M-AS1",4.68213340846178,4.69117732055525,3.56660726632522,4.90043446660032,4.68213340846178,4.5224541655609,5.44800344150859,4.5410012907503,5.57349054680805,5.34671250598105
"A2ML1",3.14449946437663,4.39924810899264,3.09377795180042,3.13012133802187,3.14449946437663,2.91451950145291,3.1870906853707,5.75666769237849,5.21556669789224,4.76255728253675
"A2MP1",2.18142728028586,2.16912031939792,2.16138663446327,2.16912031939792,2.16912031939792,2.16590706618285,2.16400153565209,2.17560678750429,2.1822284814667,2.26101886793305
"A4GALT",3.97168593428507,3.96454523714662,3.95344223315921,3.96396629772557,3.7428065572399,3.38334677903511,3.37100138499527,3.37957172701602,3.39048132448934,3.38598733572526
"A4GNT",2.2001887593238,2.18264479927089,2.17385988657168,2.18100177498772,2.18264479927089,2.17307657425199,2.15403869328075,2.17307657425199,2.18136007504196,2.17691314278918
"AA06",2.41526531902071,2.39052103741349,2.3717807157793,2.39052103741349,2.39052103741349,2.37659631705791,2.364856341882,2.38090301266358,2.40311706957469,2.38144300199916
"AAAS",7.34228519203638,7.33200773366595,7.26474949889894,7.65823450733089,7.34228519203638,7.70763382905269,7.88660734696306,7.70763382905269,7.70763382905269,7.53037260644292
"AACS",9.494633115168,9.20721343893283,9.70746364522263,9.07168755314282,9.80660912126526,9.5525505349672,8.98073866201581,9.4947873380166,9.47739147589195,9.30811986156585
"AACSP1",3.02422970246395,2.9926369055071,2.97467965534269,2.97341361010926,3.00685099261916,2.98952352601468,2.96828398127157,2.99639939829464,3.03094606732577,2.99591755026951
"AADAC",2.43823540102374,2.4243541335128,2.41952998443025,3.35024234221835,2.42714786111147,2.39853051519476,2.37067630292091,2.39831262589606,2.46837260335344,2.4040644338872
"AADACL2",2.66074155908376,2.6408662635924,2.61863138678929,2.63565423587602,2.64743861265425,2.6144026040743,2.59010574484011,2.62025537298023,2.64928710011639,2.62582448768603
"AADACP1",2.0752744612822,2.12749764144337,2.05333616891055,2.06317835711679,2.06317835711679,2.08099366928065,2.63564555560763,2.65189062286545,6.29073224178316,2.65189062286545
"AADAT",6.54797990221046,5.7745698498621,5.85161576191184,6.53529354190505,5.56589204125875,6.67121508489704,8.91821035742182,7.9557218864023,9.41915723912448,7.16027062968848
"AAED1",8.74061572249936,9.06100984145779,9.4079001997488,9.1243929980702,9.65578360505397,9.3573994831266,8.0992235960705,9.1171266869475,8.7975982608461,9.15075941696364
"AAGAB",8.61920063355774,8.66580304053087,8.61920063355774,8.53563864374926,8.72973976832556,9.13344740446069,9.2604185310697,9.35945340578348,9.46429049308424,9.24212764277147
"AAK1",9.37047394567847,9.15517436350516,9.37047394567847,9.21155030924717,9.63793205914157,9.01528993389427,8.4387978500687,9.14330080901058,8.77939849369747,8.93376066597135
"AAMDC",9.8470537831952,10.3390557520057,9.64711617387705,10.4928807587937,9.36379622592857,9.74266857755717,10.3770357395074,10.3422751741615,10.0174965112343,10.809982733238
"AAMP",9.5403653662843,9.57466562200518,9.56484163568436,9.50331038455887,9.58699751799466,9.83379140127924,9.900703086057,9.80703025538205,9.94597867546885,9.46773221433486
"AANAT",2.0763677223024,2.05490278744207,2.04902073467157,2.05040218946611,2.05859332971651,2.04283191982386,2.03378828715806,2.04715182018361,2.07285836373544,2.05238430651978
"AAR2",8.9286680721384,8.9286680721384,8.82598623304055,8.9741252019952,8.9286680721384,8.8247014797967,9.0063083951978,9.0063083951978,9.0063083951978,9.07423583798677
"AARS",10.2201060028925,10.4261793853711,10.0554811800015,9.95512772146432,10.2331903339219,10.2295872779399,10.1102789806989,10.3808625311044,10.5738814922734,9.95531318129444
"AARS2",7.31692333400512,7.18347828284489,7.31692333400512,7.42807096725922,7.00377632399758,7.4623331595581,9.32881594906456,8.80445164318991,9.53834456079773,8.56511485007647
"AARSD1",7.65028626270265,7.58534510552227,7.65028626270265,7.59207880226618,7.68960004280194,7.54171546271704,7.94128440013098,7.92387314891024,8.25012467450866,7.72177317757239
"AASDH",8.18567976092316,7.28536679129613,7.74516681908883,7.78009707849276,7.52934392189187,7.70430968246467,8.22010203778668,7.92238633195837,7.87445161836389,8.0659569730073
"AASDHPPT",10.8562932039156,11.09869762758,10.6751673598728,11.3522105453049,10.9188362888387,10.942326729749,11.1633122092864,12.0940297873749,11.0596425855928,11.7485788225497
"AASS",7.66882250045385,7.8409915772003,8.40447317876395,7.33175601025467,7.88592161784564,7.88046935187812,7.4574941855062,7.75462786495338,7.37366135552756,8.6408436763784
"AATF",8.74971570908884,8.55158613170206,8.56813261412202,8.55080414976903,8.72982526728945,8.87818435132995,8.63890689254616,8.67401578844564,8.58404685009634,8.67401578844564
"AATK",5.10628603743547,5.10628603743547,5.09935372557665,5.10628603743547,5.2439720066011,4.99749303367349,4.99749303367349,4.99749303367349,4.79651351205727,5.00630065870149
"AB074162",3.68454240079551,2.87281609884763,2.85770434580216,2.87281609884763,2.87122689820273,4.03120165791178,4.27620247319438,3.07176980090942,4.03872791851678,4.042795975552
