"","GSM1832695","GSM1832696","GSM1832697","GSM1832698","GSM1832699","GSM1832700","GSM1832701","GSM1832702","GSM1832703","GSM1832704","GSM1832705","GSM1832706"
"A1BG",5.2939525,5.7590647,5.685216,5.8455429,5.4329439,5.8768549,5.6008921,6.2146464,6.3721657,6.0947762,6.1813851,6.13220075
"A1BG-AS1",4.8768034,5.617157,5.3721819,5.3543797,5.4525123,5.8907972,5.110045,5.709446,5.3579569,5.5600844,6.53990225,6.22163204
"A1CF",2.1172629,5.2434402,4.3803258,4.6979556,4.7172637,4.0333891,4.3731404,4.3569928,3.9384604,2.9726591,5.6422167,4.6705476
"A2M",11.5793076,10.8484564,9.8214541,10.7613536,10.3006745,10.5286618,10.6048317,10.6229658,10.2406674,11.1538086,10.6412764,10.305377
"A2M-AS1",5.0809565,5.1576486,5.5229798,4.6275354,5.3086005,4.9852916,4.5648294,5.0254922,3.7237196,4.7071834,4.0039216,5.3796254
"A2ML1",3.9890828,3.1628514,4.6311736,0.5121103,4.3669381,1.7771302,3.7739692,1.6369786,1.1797271,1.0908871,2.117004,2.9247026
"A2ML1-AS1",8.3475132,10.6200114,6.69378475,9.0499411,9.7032853,10.7516146,8.9817353,10.3984299,9.0591383,10.6088934,9.4107418,9.6695538
"A2ML1-AS2",1.5312529,4.0147876,3.5844589,3.3806649,3.6790986,3.6833649,3.1626373,3.6978193,1.6973466,1.9008313,4.3428716,3.2023359
"A2MP1",3.1896248,3.3317843,2.5973802,5.2305947,4.0344396,4.7968202,2.8059421,2.6862049,4.5991278,3.9717546,4.8792844,3.8849354
"A4GALT",10.3373452,9.519413,9.8871661,10.1524582,10.2649384,9.5129576,10.22575,10.0316344,10.26577,9.6580658,10.4635363,9.6332951
"A4GNT",0.9740391,1.3385216,1.7973966,0.508008999999999,2.3539486,1.8550186,1.6412536,1.904809,1.212523,1.2549138,2.2864733,2.4668351
"AA06",4.3880206,4.1719752,3.8989025,5.677208,6.17470745,6.20259145,4.4592967,4.2584129,4.4377013,4.875012,4.1228624,4.2505451
"AAAS",8.7932263,8.0937271,8.6366482,8.2796946,8.4727516,8.054327,8.2008553,7.9579497,8.0450936,8.3242455,8.4237042,8.4727831
"AACS",7.37321952,6.82159427,7.063258206,7.12011341,7.08646396,6.7938929,6.94079021,7.028035199,7.13360027,7.24163059,8.0946894,7.22613815
"AACSP1",5.0809884,5.8496676,5.3208895,5.5023051,6.5085669,6.486074,5.7698498,5.5887566,5.609839,5.4745546,6.931906735,6.4678221
"AADAC",1.5434176,0.833869,2.1502626,1.5715196,1.7632408,2.0780936,1.6694526,0.9032706,1.9315963,0.941848599999999,1.5716486,2.897276
"AADACL2",0.989282599999999,0.7873173,2.0121246,0.833002599999999,2.0424381,1.8772626,1.7253076,0.9560996,1.460723,1.1002996,1.793273,1.9418906
"AADACL2-AS1",2.1667696,1.819685,4.1436525,1.5142169,3.9853144,2.3811816,1.7803769,1.6910391,1.433734,1.2736678,2.6424216,3.3620086
"AADACL3",11.457532,11.9947416,11.7744036,11.8676739,11.9512139,11.3036433,11.9119576,11.9861451,11.9093523,11.7403736,12.1243046,11.7665301
"AADACL4",2.7381976,2.9740401,1.9028001,3.2895942,3.1356769,4.1864716,1.5352306,2.8315086,3.4565873,2.3423816,4.5742798,3.6936155
"AADACP1",5.4349313,5.5356517,4.8560486,5.9901047,6.3783646,6.3120089,6.3189068,6.05173496,5.9888039,5.4960576,6.7851291,6.4104233
"AADAT",5.8723612,5.2563186,6.97438911,5.4352866,5.4703021,3.8049794,5.5686312,5.4620309,4.9302136,5.2167535,4.1690636,4.9804378
"AAGAB",7.49867157,7.5637045,8.135437,7.8931313,7.3029881,7.33506874,7.8821192,7.6071959,7.79066566,7.7481766,6.7500997,6.979527985
"AAK1",11.8133211,11.1171742,11.050457,11.4813216,11.322486,11.7396986,11.1657476,11.1834516,11.6570246,11.7254296,11.8592091,12.0656233
"AAMDC",7.9909592,7.69165996,7.8565989,7.6103068,7.229044,7.063015973,8.0916081,7.69684414,7.62951664,7.95779804,6.75665144,7.19012741
"AAMP",9.2383891,8.1822148,8.1043215,8.426385,8.258112,7.88877777,8.4154721,8.1089287,8.3562651,8.9795084,9.2555571,7.86655906
"AANAT",6.1496935,6.60009578,6.73073867,6.83783344,7.52418045,7.34907726,6.7598906,6.6440554,6.72724346,6.7437859,7.9938183,7.47478393
"AAR2",0.9576474,0.834611,2.7558861,0.2552806,1.8123096,1.8782211,1.653627,0.9596043,1.1634293,1.0809431,2.2022229,2.6265336
