"","GSM2425674","GSM2425675","GSM2425676","GSM2425677","GSM2425678","GSM2425679","GSM2425680","GSM2425681","GSM2425682","GSM2425683","GSM2425684","GSM2425685","GSM2425686","GSM2425687","GSM2425688","GSM2425689","GSM2425690","GSM2425691"
"A1BG",5.70135637054541,5.3488145363296,5.500719847685,5.3868502545492,5.46265898718655,5.58987761594455,5.47409431185174,5.40124714860274,5.52898162849666,5.57707135794451,5.68717213446737,5.77452853710909,5.57863927752733,5.58987761594455,5.80126706113523,5.54825196024355,5.42883683242411,5.45462995474383
"A1CF",4.95267118087668,4.58494425652476,4.84468327105975,5.1119982118048,4.86494793414873,5.34826429304116,5.06218488889029,5.08234025231991,4.94572296062266,5.06566747428591,5.01976470855677,4.85942495723637,5.13811776793259,4.96048061881624,4.92554148003758,4.75954943127359,5.03959056932126,4.86789409243721
"A26C3",4.82214652859057,5.62395199566801,5.55873569918754,4.97830602458343,5.08136988214058,5.45491482186184,5.05193666973702,5.01747976999569,5.27295145727765,5.6767212824833,5.4115001412773,5.4070851954653,5.2378306044495,5.01884004257121,5.02973472711797,4.56253390588628,5.32978378324419,5.14429278177461
"A2BP1",5.09007302958122,5.30632786831682,5.28937635890455,5.24498369210564,4.83350189081427,5.0387318107823,4.9373121854132,4.79619409388549,5.25750513940333,5.25944575071095,4.94166205475578,4.90701403693303,5.11147165122012,5.17710893890957,5.0857454366679,4.68711210023623,5.06359319420876,5.28121751891526
"A2LD1",9.04342423677482,8.50813807171503,8.93016357482542,8.24794345893223,8.20255024987069,7.95925408619153,8.37210830630052,8.59284404623183,8.95648204296868,8.80858056326125,9.16909110316431,8.9297559712327,9.05774013595115,9.25802267740335,8.92859642228227,8.69998589143424,8.19244156469066,8.65281722997842
"A2M",9.23419031513811,10.4218248508561,9.71194526556468,10.443352678164,10.584719081754,10.3557979983517,10.2739504184216,10.1634142723739,9.17513747854719,9.58491038993572,9.57599894518182,8.86089565090522,9.62187158116788,9.45849040400774,10.4477639639008,10.3774197168504,10.6945606164695,9.75213049081829
"A2ML1",4.80065724796896,3.7181314342072,4.41621734412756,4.59487265375576,4.4282668991407,3.57902684156312,3.5517879200244,4.52847107058557,6.82756526069045,7.26399081346665,5.12654630969773,5.6493498867694,3.36029403651615,5.16850685678694,5.9027303626642,6.08493421295655,5.88737295114678,5.96665979255243
"A3GALT2",4.44709089851589,4.15089602250934,4.19400894080238,4.69364200752118,4.19099278732414,4.03754642684991,4.43245323977367,4.55615360931619,4.51641639750708,4.81560386238024,4.20788980698949,4.93569602870206,3.75818909608491,4.22391420273138,3.89518811256573,4.46182941697636,4.58833156680874,4.28070411700781
"A4GALT",9.70962814193515,9.31858587525804,9.59068352575056,9.16817381972877,8.17223476971641,8.75580045256009,8.76999304480942,9.363199249005,9.11000575157933,9.23257408696827,9.23353330419206,9.3845589872433,9.33567743584175,9.50245683360085,8.92045903624476,9.24125616276678,8.97272269069422,8.43990134477446
"A4GNT",5.26088679928181,5.10306073657445,5.35508993397256,5.03376784152685,5.35554737770107,5.10333607231153,5.17987526090701,5.07027790115898,5.30816717080341,5.2555162174885,4.9959054621048,5.54289350055589,5.37353233175369,5.17088928104848,5.17970530738583,5.35343057173677,5.26033245957322,5.06383954625935
"AAA1",5.16729569973483,4.74747210044548,4.56901044388839,4.83935266150371,5.38758484268301,4.58368425383218,4.88397655900408,4.9905272965625,4.95279686921426,5.11430205223425,5.02542840466075,4.84233545749014,4.85510632418809,4.87649032706113,5.11855616431606,5.02581718733762,4.9599849672652,5.14336851909016
"AAAS",6.76957486246298,6.64609495721991,6.72503012959605,6.7454382303702,7.32167524042443,7.08357038045514,6.75978061772702,6.88168615192146,6.69370285773196,7.57370746892433,6.51726734571413,6.69745093927434,6.81382761319059,6.81621210296484,6.86019693858341,6.59187625431523,6.9331285729736,7.17689678403151
"AACS",7.97609413639372,8.21747822189993,8.09919293265718,8.00065447440215,8.26911526848549,8.06531304864901,7.80365107581465,7.88624870084514,7.86364834641393,8.02613642190279,7.80715563604157,7.84000278205929,7.98816635943736,7.87244563128052,7.41066384981516,7.94145238474918,7.62796177798279,7.636335037513
"AACSL",5.98177412471362,5.84770332832047,5.57923808652361,5.51121500147097,5.69207786468881,5.52683910783307,6.01626252266933,5.59087443757734,5.56849853319906,5.95953532728409,6.15456741268071,6.12734520716317,6.10696801589333,5.74584558870929,5.4864514851535,5.57908478611655,5.31473494868089,5.57621312864951
"AADAC",5.72553340654632,5.4779845474538,5.80707949558995,5.31510245307767,6.69582932981999,5.9074516948527,5.19333886995015,5.74118057626615,6.46824149984602,6.14803824136428,5.99183563354973,6.05943878052097,6.23532880879172,6.01781637366681,7.10083219386466,6.07535549225412,5.98630784941565,5.9064404045223
"AADACL1",8.83315625541815,8.66316583708028,8.63465374246859,8.65960194188547,8.24169605936663,8.71975966398648,8.89119210734486,8.71643592606764,8.5063411460589,7.83686308632607,8.48979924106927,8.62119752039667,8.54497509362886,8.70573453000994,9.44483446666448,8.49253685187253,8.6540364874493,8.95927709993982
"AADACL2",4.58379783595426,5.01106566452942,4.5078218006589,4.28596808823425,4.25664869177548,4.47283254737414,4.14411295400512,4.15502373665467,4.87190617379398,4.07226987412369,4.45304821544439,4.51477547318111,4.06719236567972,4.12100246639612,4.74096532671019,4.5451529357159,4.49839091705384,4.24327979627431
"AADACL3",4.15482037686568,4.20871084949906,4.1146885968216,3.55444273303587,4.04308898312849,4.5129031825175,4.31926950092724,4.13261854368566,4.29675076224555,4.18481307266508,4.3827592337248,4.00313850299732,4.20226231590687,4.33666450897613,3.96201302554921,4.21991295265665,4.42624777777219,4.27834730900755
"AADACL4",5.63027906703346,6.58478455735938,6.26056769422236,6.30047446920082,7.39809003508737,7.26161317739027,7.02501062776268,6.20966527026977,6.08997857371026,6.61740222571875,6.05073066466903,6.26915735655249,6.73105219263145,6.73228846787313,6.17508681604834,6.03052721838681,5.96863062457873,7.27504300264879
"AADAT",8.64980569833617,9.25319809063928,8.72897031363448,8.70195222887694,8.61701138770641,8.87816331897682,8.29701372885043,8.91261561724787,9.50871774890518,10.1699097979613,9.25402674141123,9.69660100037499,10.0764052522596,9.37388494387381,8.85652873910309,8.79262978351596,9.38955919732761,9.97827223649367
"AAGAB",9.28009254406577,9.35686625362948,9.19965777059856,9.20556933943379,9.13414227130024,9.01655693606145,8.88743589155302,9.12449863840997,9.45211943516808,9.83186641333977,9.5625674901458,9.57803629378722,9.87968686876467,8.98452401521235,8.8369654342701,8.82283165555716,8.37564749474643,9.04856713955155
"AAK1",7.719569257778,7.68061522975666,7.40931082190636,8.31322299200193,8.40244830343375,8.60130972075682,8.29921287316242,8.16985015969584,7.96629583132929,6.29834397466611,7.74315583834709,7.62885421242751,8.15086914046041,7.78832851586244,8.38923707421514,8.70716673690444,7.326859624767,7.84028043056087
"AAMP",9.18225742744986,9.23199071685603,9.34363202669095,9.58689468061959,9.51228014892129,9.26530294056182,9.27695385605402,9.11637375063292,8.90405218814604,9.43301192108775,9.05680178017213,9.20316116248565,8.97513248895319,9.16419611118423,9.33502865295532,9.38784492682424,9.19300624186711,9.41175853408957
"AANAT",3.81257441404919,3.49095642321563,3.91257552491076,3.80773368283178,3.01393742226816,2.53378260126582,3.47053035765778,3.66402879785084,3.33078496853778,3.07198228265682,3.16309935963262,3.84802565998208,3.27791186704968,2.48104830835446,3.59686002490476,3.91455553053926,3.08511697994719,3.68971513354981
"AARS",12.0630356638835,12.1030434673167,12.0330377932148,11.8538229309144,12.0080604987822,11.7768782991732,11.8197148235176,11.9871278592989,11.9351745766646,12.0508060110429,11.8970470875516,12.1451172514252,11.909729181604,11.7839746288186,12.1287824501885,11.8888987943879,12.2017465244415,11.8549368784889
"AARS2",8.9909930255275,9.18074327376366,9.03583436071484,8.30158837819278,8.79802607638519,8.72488269933572,8.71742062186774,8.46309705974043,9.24929187590987,10.4422176750044,9.21424105771474,9.87048580223976,10.2108294350205,9.59580006402063,9.36151234780237,9.1489642450711,9.00309160407106,10.2041442145209
"AARSD1",9.23839270089239,9.03862784270807,9.1087882994828,8.83735974040597,9.2781363989268,9.04403739076892,8.9624361199839,8.94752373856229,9.1212997662671,9.76873806779563,9.2106308260091,9.15841948732313,9.03558586254579,9.17105081597031,8.93518909923273,8.54371456011824,9.10852356816138,8.88608783044905
"AASDH",8.82262551052555,8.56089321716469,8.88327977311125,8.65218085786052,8.42341622845044,8.20472939188013,8.49683924053986,8.80991780758872,8.91365854853108,9.12298185682183,9.07704229609265,8.86912019757463,8.92859642228227,8.75964475157746,8.90048996787136,9.13433071925397,9.34521751781215,8.9629589158776
"AASDHPPT",9.5028279462692,9.36151234780237,9.38294054183802,9.20768927519446,9.49439492831335,9.71726404806169,9.33160056250231,9.33380265082184,9.90675542678496,8.93016357482542,10.024478789568,10.7256839566827,10.006149128877,10.0760297287336,9.81855718972245,10.0468850704076,9.61553981744074,10.472365774904
"AASS",7.16746190273601,7.12805372939348,7.37983371893512,7.45024343974224,7.59189001397879,7.95109619049776,7.89562956607361,7.67293627670028,8.00934302889478,8.14357382593032,7.44462698406156,7.48026722275136,8.01804691388778,7.57587773938951,7.81656105325785,7.88311466019066,7.89877948765555,7.58134416625469
"AATF",9.1589192979888,9.06563763161379,8.91391878971533,8.82042936956059,9.11414148210213,8.68483016632267,8.60393917932751,8.90180172148465,8.74549033294219,8.94948316548221,8.78910797899246,9.04435602952065,8.71012748422522,8.93666137524594,9.0193899045743,8.66088142465794,8.64616539389709,9.11831159862802
