"","Endothelial","Epithelial","Lymphoid","Myeloid","Stromal"
"MT-CO1",93.3221445192611,130.09882779151,38.1682849700271,65.0322335760706,113.972387062215
"MT-CO3",93.3330801500596,128.97207605456,31.9203227155601,51.6285405322297,114.056281866925
"MT-ATP6",84.5590303034442,68.7659349928842,37.8549177178214,51.7984070000402,105.883943106725
"MT-CO2",72.8598490878517,81.9438873722169,32.4444910692343,50.4127966533876,86.5324750929646
"MT-CYB",65.4407142857144,77.0128187456923,26.9774541380759,35.3957382039574,79.9023712544625
"EEF1A1",45.6908420653644,72.8905086633954,15.1420644646371,27.8436960931442,68.7563095291898
"RPL10",40.1693059057424,52.5947403635266,21.768507358345,32.2481289924643,73.9708876804139
"MT-ND4",52.1414209747314,48.2830411567924,19.3227817357514,32.3325722983257,54.1939705831807
"RPL13",39.7704315757753,44.1928331705723,20.3790948419342,28.8193084266451,60.144844305009
"RPLP1",43.7849596732005,44.4225892837915,23.786120916211,30.6963252121273,49.7351205453034
"TMSB4X",43.2855488327572,18.8585901168688,35.6833029681436,48.8135294645707,43.410187860982
"RPS18",37.4421539732389,41.8453158304661,15.5402932788389,23.0773661002358,61.4433828004875
"RPL41",34.8778365523476,47.315550025688,20.9726085491901,26.9950960890887,48.8469932924582
"TPT1",37.727142857143,40.9520294052747,15.801008262148,31.8614916286149,51.3908938776748
"RPS8",35.9650000000002,39.8589111874961,11.2149558885309,22.7652207001522,58.0173288254762
"RPS12",35.2639859700204,39.8917313443021,16.6065691216889,25.908932771494,45.6653626274702
"RPS4X",29.7728571428572,39.5154954086087,13.4462899484648,19.9619482496194,48.5180726354357
"RPS2",29.0380366767305,37.4400356764943,11.3233997831213,19.525918511756,41.821954201171
"RPL28",29.8492857142857,27.5586492074431,16.4709424450357,22.9642313546423,37.369264800734
"RPS14",27.7249576473236,35.1497884160152,13.6850114363178,21.0091100370502,36.5962925369174
"B2M",34.6014285714287,13.4949689869056,30.1177706203615,32.8120243531202,22.840074516116
"VIM",24.8085714285715,51.5321847002067,5.34028847500356,10.8333333333333,39.7498658078329
