"","SRR6286050","SRR6286052","SRR6286054","SRR6286056","SRR6286058","SRR6286060","SRR6286062","SRR6286064","SRR6286066","SRR6286068","SRR6286070","SRR6286072","SRR6286074","SRR6286076","SRR6286078","SRR6286079","SRR6286080","SRR6286081","SRR6286082","SRR6286083","SRR6286084","SRR6286085","SRR6286086","SRR6286087","SRR6286088","SRR6286089","SRR6286090","SRR6286091","SRR6286092","SRR6286093","SRR6286094","SRR6286095","SRR6286096","SRR6286097","SRR6286098"
"MT-CO1",20.062088290009,19.3113105833317,18.9487500760607,19.2267769547407,18.9346188153022,19.2797515853047,19.1775796146723,19.1236400371616,20.0036661485781,19.6369710433423,18.8312121310702,19.0351299966738,20.5474800284478,20.2433715480034,18.7587792750059,19.0183336949218,20.9924018298841,19.9111605675617,19.9288735565992,19.1436059480277,20.7321547811271,20.1447763826204,22.3067307414589,19.7634041691128,19.7945686894439,19.8721202987812,19.887884966997,19.0151282951648,20.4465697466904,21.6601936325956,20.0035426291927,19.9472374499802,19.0755496375347,21.327462797467,21.1989322914154
"MT-ND4",18.8088946011954,17.8375364138711,17.4934497434156,18.0107148843581,17.375183969454,17.8201073799106,17.7547969849862,18.2673948727267,18.9236914708296,18.5022327981285,17.8742743994165,18.0875111895796,19.698683302605,19.0960777823353,17.3713650333339,17.4535055455157,19.5933052916192,18.4525158544797,18.8306556430044,18.0793753430755,19.355726803429,19.1243818303088,21.214563098664,18.4295069481073,18.5096895675503,18.6844192368869,18.5564971628147,17.660180418895,19.4884296631036,20.732573659738,18.912758877634,19.0016436326614,17.9022591092623,20.4581059592098,20.1722903692545
"EEF1A1",18.5625099077149,18.3475076695495,18.8605061316847,18.503019541378,18.6098250943897,18.4364917071569,18.4904507969931,18.7367327367037,18.8243580355893,18.6014624610555,18.4644553263969,18.7237226081083,18.4594812300469,18.6063576629142,18.4644942220814,18.479470352289,18.6925330531428,18.549132214496,18.7132778206946,18.4292741920633,18.3465566037503,18.3167657379364,18.0822456956215,18.5788050254977,18.5197029410099,18.5500590598861,18.9343262592081,18.676513698846,18.6076408972685,19.0732962800396,18.9312583843992,18.3859142951093,18.384031349464,18.1810613232868,18.5142463103018
"MT-CO3",18.2639818927464,17.5364059726436,17.0068429568902,17.3359252343714,17.2332188006057,17.4304016912032,17.359039115838,17.7872659960002,18.632835977589,17.8148744815428,17.4014950419217,17.5672220404515,18.9480428133292,18.8092331629884,17.2459916661828,17.3428555789856,19.3573325079202,18.3330055965421,18.5682888877508,17.6584579523864,19.1277209854895,18.7229851368569,20.7166664363124,18.3055827296752,18.2283074592255,18.4502216450234,18.4356374575475,17.6480839839157,19.1879558636593,20.3092276803852,18.6816006613614,18.4696299778346,17.7670590269132,19.7758136237484,19.6845314902676
"MT-ND5",18.301185653428,17.4883930802129,17.1037963158494,17.3744646411534,16.8215671300324,17.4404576933803,17.5079683369614,17.5529194718663,17.4357026849477,18.0201556869566,17.1043717091661,17.7544842360622,19.0577621716272,18.1008558212829,16.7136726762297,17.0175772614314,19.0734229158913,18.0227538733771,18.2241732963586,17.5541905674828,18.9527820333227,18.7179773099374,20.4431186323127,17.7064189095253,18.0228370745642,18.1860410806186,17.8289197854001,17.0805195173774,18.6788655861161,19.2871920224208,17.5279977492391,18.0886385469212,17.5339123107966,19.4432811308662,19.4221640067976
"MT-CYB",18.3160138711268,17.164228695087,16.7571784568522,17.1866490902963,16.7855915061464,17.2126297208892,17.1835115048528,17.3256411242405,18.2540083276436,17.678512891155,17.2375520190791,17.3852059346486,18.961971917447,18.4026079805672,16.4112943503778,16.7058915734752,18.9586593139699,17.9624118508757,18.0880734071708,17.3263441176393,18.994144582331,18.5669924332731,20.5589796873895,17.7949535382512,17.7570716309658,18.1385257780977,17.8895812712951,16.9015776249816,18.9496993015746,20.1511738269803,18.0184310913471,18.1108438457925,17.2906055654253,19.7984350864188,19.2808637463069
"COL3A1",16.4489757985731,17.8787410376383,18.2918954958955,17.4418593399564,18.2455830435051,17.6401513705104,18.3587557322468,17.5076243940669,18.0328879575584,17.6316614029784,17.2226648695737,17.4018495283805,16.9542738096306,18.3951581630334,17.9159740094601,17.8104798518926,17.8992905437738,18.2395710027771,17.336018681068,18.1081276270679,18.1931573929858,18.3304942516862,16.6452982681091,18.4621117239213,17.9288987401632,18.1028046879158,18.8771791579899,17.6064141776046,17.9565459929509,17.8592131318454,17.148499956016,17.9535056434648,17.7875866857839,17.5297878390159,18.2815216237525
"MT-CO2",17.9192228942473,16.9207823298688,16.540754195649,16.8985878331512,16.4864429024186,16.8055235588319,16.78401294872,17.2511134844795,18.1043055768287,17.2015002542921,16.7550631188278,17.0416994028876,18.4523651262633,18.2349205737812,16.6075548567687,16.8619004275397,18.6540551130774,17.6016852988831,17.9810003355112,17.0515509878202,18.5997404699716,18.3717989226706,20.1142051084474,17.608950033346,17.4543912162293,17.8842147164022,17.9531930057276,16.8992519453485,18.5205825803055,19.8570892556982,18.098209689025,17.7021393135528,16.9923749334129,19.4329113876171,19.1401072627625
"MT-ATP6",17.2930531001698,16.9558508094549,16.5716953809468,17.0074688926574,16.4951659781615,16.863343873895,16.6539778617334,17.2927500614261,17.8486154728144,17.4335064238702,16.8945728954873,17.1682873919085,18.4454381569806,18.1632513012637,16.4169475569796,16.4974979581591,18.5555876492935,17.6210820927825,17.545301767908,17.1406179465875,18.43271630175,18.1466164475661,20.1792161711443,17.7046398474479,17.6037389165225,17.8253241937925,17.5351879307855,17.0945259578632,18.522466217617,19.7904964459762,17.7167826024511,17.8907876005524,17.2448185719443,19.5067383283365,19.1310655888417
"COL1A2",14.5420047651578,15.8215224512458,16.2650198235297,15.774902569868,17.3682273096839,17.6025409750531,16.8289895449125,17.409402197727,15.825523018057,15.0687621521588,18.1893303707068,18.3987666601285,14.8445173718037,17.5526356524513,16.3074033048763,15.1546904303694,17.4356458466862,17.8512915912717,17.8922716738066,18.7307940947745,16.7835592063546,17.9340130474469,15.9518675684911,17.9213643938511,18.0746182201833,18.4113952227621,17.7876816671256,15.9299838486655,18.0424931141828,16.9136488092845,17.523443761524,17.4220003518363,18.3538848856366,17.9947118937969,17.3979434798642
