"","SRR3216048","SRR3216049","SRR3216051","SRR3216052","SRR3216053","SRR3216054","SRR3216055","SRR3216056"
"RN7SL1",19.5108763623363,19.4428702035624,18.8935565296456,19.3655075958339,19.5692218064844,19.316818384584,19.0746664056332,19.1646527441314
"RN7SL2",19.4628457060156,19.3750148434551,19.0435409698683,19.2259212254353,19.4679467840968,19.2277249998,19.050324392599,19.0576514734939
"RN7SK",19.1113685525006,19.2010255804072,18.8369843633556,19.034269351033,19.2884009305089,19.2544144562838,19.3154542784154,19.2460230331094
"EEF1A1",16.8953790459219,16.8599097031448,16.3410967802669,16.7037559199016,16.87646853509,16.9505428897357,16.8118395363484,16.8807638779248
"MT-CO1",16.3209156146602,17.0727395107861,15.8532242608905,16.3856378050002,16.7918925101172,16.7309751990497,16.6647566096132,16.5110006494147
"RPPH1",16.5001638619412,16.4395521832152,16.1066595714367,16.3115642555954,16.7425989629109,16.6141060431448,16.5871977737819,16.5593602650325
"COL3A1",16.5692473093784,15.8249554278821,17.1605573221619,16.369792529821,15.8031796832555,16.3145307376538,16.087658800009,15.9574137004426
"AHNAK",15.7503849307448,16.3734489938571,16.3561672098336,16.4320059616868,16.02010530318,16.0144906594279,16.4393961629048,16.0703014839983
"MT-CO3",15.9665505391233,16.5060443991362,15.2959354854738,15.846872025424,16.1375314212005,16.4160733854536,16.205685857273,15.7850113743754
"RMRP",16.087870700716,15.6734889860309,15.5985329960334,15.7632628507784,15.8833500090081,16.045928933533,15.764917038267,15.9458520602561
"RNU1-1",15.840596720103,15.8289489942205,15.4507611682934,15.5443426757415,16.2040718993889,15.7311278891016,15.8013027140705,15.6080295974918
"NEAT1",14.8759141662805,15.7376087034082,15.5802836374693,15.2932784001688,15.5318856701041,15.582651561749,15.4843710121417,15.0655592287123
"COL1A2",13.9461485511876,15.220604315318,15.559562642029,16.3933806072342,14.4244623447999,14.0489218099578,14.6539476444919,16.3073450787942
"LOC124904146",15.0541294619909,15.3128204607589,14.7744129791344,14.830711052815,15.5840228635472,15.1783659246466,15.1799694213873,15.1802388884529
"VCAN",15.3737708538677,14.7362998952993,14.164231669798,14.2115008263335,15.2871015746165,15.1484577755288,14.7913073089077,14.6849260235946
